Name,max_dep_delay
"Hawaiian Airlines Inc.: HA",390
"Frontier Airlines Inc.: F9",581
"Southwest Airlines Co.: WN",626
"PSA Airlines Inc.: OH",633
"Alaska Airlines Inc.: AS",751
"Spirit Air Lines: NK",946
"Endeavor Air Inc.: 9E",1054
"Republic Airline: YX",1162
"Delta Air Lines Inc.: DL",1174
"ExpressJet Airlines LLC: EV",1355
"SkyWest Airlines Inc.: OO",1419
"United Air Lines Inc.: UA",1515
"Allegiant Air: G4",1540
"Envoy Air: MQ",1687
"JetBlue Airways: B6",1769
"American Airlines Inc.: AA",1964
"Mesa Airlines Inc.: YV",2036
