Name,max_dep_early
"SkyWest Airlines Inc.: OO",-48
"Alaska Airlines Inc.: AS",-44
"Frontier Airlines Inc.: F9",-34
"Allegiant Air: G4",-32
"JetBlue Airways: B6",-30
"Republic Airline: YX",-29
"United Air Lines Inc.: UA",-28
"Spirit Air Lines: NK",-28
"Envoy Air: MQ",-27
"Endeavor Air Inc.: 9E",-25
"Mesa Airlines Inc.: YV",-24
"PSA Airlines Inc.: OH",-24
"Delta Air Lines Inc.: DL",-24
"Hawaiian Airlines Inc.: HA",-22
"ExpressJet Airlines LLC: EV",-22
"American Airlines Inc.: AA",-21
"Southwest Airlines Co.: WN",-15
