AirportName,CancelReason,NumCancel
"Abilene, TX: Abilene Regional","National Air System",3
"Akron, OH: Akron-Canton Regional",Carrier,3
"Albany, NY: Albany International",Weather,6
"Albuquerque, NM: Albuquerque International Sunport",Weather,11
"Alexandria, LA: Alexandria International","National Air System",5
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Carrier,1
"Amarillo, TX: Rick Husband Amarillo International",Weather,10
"Anchorage, AK: Ted Stevens Anchorage International",Carrier,7
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,4
"Asheville, NC: Asheville Regional",Weather,7
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,15
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,32
"Atlantic City, NJ: Atlantic City International",Weather,1
"Augusta, GA: Augusta Regional at Bush Field",Carrier,1
"Austin, TX: Austin - Bergstrom International",Weather,31
"Bakersfield, CA: Meadows Field",Weather,2
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,37
"Bangor, ME: Bangor International",Weather,2
"Barrow, AK: Wiley Post/Will Rogers Memorial",Carrier,1
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","National Air System",4
"Beaumont/Port Arthur, TX: Jack Brooks Regional","National Air System",1
"Bend/Redmond, OR: Roberts Field",Weather,2
"Bethel, AK: Bethel Airport",Carrier,1
"Billings, MT: Billings Logan International",Weather,4
"Birmingham, AL: Birmingham-Shuttlesworth International",Carrier,8
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,11
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,1
"Boise, ID: Boise Air Terminal",Carrier,1
"Boston, MA: Logan International",Carrier,34
"Bozeman, MT: Bozeman Yellowstone International",Weather,3
"Bristol/Johnson City/Kingsport, TN: Tri Cities","National Air System",1
"Brownsville, TX: Brownsville South Padre Island International","National Air System",2
"Buffalo, NY: Buffalo Niagara International","National Air System",6
"Burbank, CA: Bob Hope",Carrier,57
"Burlington, VT: Burlington International","National Air System",4
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,4
"Champaign/Urbana, IL: University of Illinois/Willard","National Air System",1
"Charleston, SC: Charleston AFB/International",Carrier,7
"Charleston/Dunbar, WV: Yeager",Weather,6
"Charlotte, NC: Charlotte Douglas International",Carrier,66
"Charlottesville, VA: Charlottesville Albemarle",Weather,3
"Chattanooga, TN: Lovell Field",Weather,4
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",Weather,3
"Chicago, IL: Chicago Midway International",Weather,103
"Chicago, IL: Chicago O'Hare International",Weather,85
