FlightDate,NumFlights,AvgFlightsPrev3Days
NULL,0,NULL
2019-10-01,20419,0
2019-10-02,20830,10209.5
2019-10-03,21682,13749.666666666666
2019-10-04,21731,20977
2019-10-05,17165,21414.333333333332
2019-10-06,21009,20192.666666666668
2019-10-07,21692,19968.333333333332
2019-10-08,20793,19955.333333333332
2019-10-09,20971,21164.666666666668
2019-10-10,21736,21152
2019-10-11,21701,21166.666666666668
2019-10-12,17240,21469.333333333332
2019-10-13,21049,20225.666666666668
2019-10-14,21719,19996.666666666668
2019-10-15,20846,20002.666666666668
2019-10-16,20987,21204.666666666668
2019-10-17,21734,21184
2019-10-18,21698,21189
2019-10-19,17217,21473
2019-10-20,21033,20216.333333333332
2019-10-21,21700,19982.666666666668
2019-10-22,20818,19983.333333333332
2019-10-23,20936,21183.666666666668
2019-10-24,21716,21151.333333333332
2019-10-25,21669,21156.666666666668
2019-10-26,16931,21440.333333333332
2019-10-27,20341,20105.333333333332
2019-10-28,20718,19647
2019-10-29,19831,19330
2019-10-30,19802,20296.666666666668
2019-10-31,18300,20117
